scene,metric,stat,p,ppo,ours
nominal,collision (episode-level 2-prop),z=-0.18,0.8608125315798492,0.0078 (11/1405),0.0084 (12/1425)
nominal,"return (Welch, seed-level)",t=0.12,0.9088809030489252,30.7575±0.7665,30.7049±1.1204
nominal,"min_obstacle_dist (Welch, seed-level)",t=-0.83,0.4204316806378301,2.2942±0.1071,2.3318±0.0851
nominal,"detour_ratio (Welch, seed-level)",t=-4.46,0.0008264085371697065,0.1829±0.0034,0.1969±0.0088
nominal,"tracking_error_ema (Welch, seed-level)",t=1.83,0.08375406872577723,1.3512±0.0023,1.3493±0.0023
ood,collision (episode-level 2-prop),z=-0.12,0.9041858344601663,0.0162 (23/1418),0.0168 (24/1429)
ood,"return (Welch, seed-level)",t=-0.65,0.5256373017712398,29.3018±0.8144,29.5125±0.5338
ood,"min_obstacle_dist (Welch, seed-level)",t=0.24,0.8132535956848371,6.6971±0.1637,6.6799±0.1410
ood,"detour_ratio (Welch, seed-level)",t=-2.00,0.06449211599416309,0.2138±0.0060,0.2215±0.0099
ood,"tracking_error_ema (Welch, seed-level)",t=1.03,0.31855207236863964,1.3496±0.0032,1.3484±0.0017
hard,collision (episode-level 2-prop),z=-0.06,0.9504278824945831,0.7463 (300/402),0.7482 (306/409)
hard,"return (Welch, seed-level)",t=-1.38,0.2048883504806527,-35.2307±3.0571,-32.3371±2.8680
hard,"min_obstacle_dist (Welch, seed-level)",t=-0.54,0.6070502973194516,-0.0365±0.0665,-0.0163±0.0336
hard,"detour_ratio (Welch, seed-level)",t=-3.53,0.018551264347682988,0.2126±0.0062,0.2240±0.0018
hard,"tracking_error_ema (Welch, seed-level)",t=-0.42,0.6893668598917547,1.3492±0.0038,1.3502±0.0027
training,violation rate (episode-level 2-prop),z=1.44,0.1495452803467352,0.0143 (6/420),0.0047 (2/426)
