scene,cell,metric,ours_mean,cell_mean,diff,ci_lo,ci_hi,significant,n_ours,n_cell,z,p
calm,mpc_only,stats.wall_violation,0.04477611940298507,0.0,-0.04477611940298507,-0.08208955223880597,-0.014925373134328358,True,134,128,-2.42191487088028,0.015438966798232215
calm,mpc_only,stats.wall_viol_frac,0.043969281128983,0.0,-0.043969281128983,-0.0812801202731346,-0.014123988240512449,True,134,128,,
calm,mpc_only,stats.wall_depth,0.023753215788182482,0.0,-0.023753215788182482,-0.06216371547962441,-0.0014363704040757739,True,134,128,,
calm,mpc_only,stats.min_wall_dist,0.720627831434136,0.7485921010375023,0.027964269603366287,-0.024605442437433667,0.09127414493088318,False,134,128,,
calm,mpc_only,stats.tracking_error_ema,0.3900377885229997,0.9268726943992078,0.5368349058762081,0.3776420964440679,0.6804423457294799,True,134,128,,
calm,mpc_only,stats.filter_lambda,0.06520208204898356,0.9999998807907104,0.9347977987417269,0.8918505470699244,0.9720435336006052,True,134,128,,
calm,ppo,stats.wall_violation,0.04477611940298507,0.05303030303030303,0.00825418362731796,-0.04432383536861148,0.060945273631840796,False,134,132,0.31219243318691603,0.7548942823792271
calm,ppo,stats.wall_viol_frac,0.043969281128983,0.052989891532695656,0.009020610403712659,-0.042772949473154805,0.06131816809986009,False,134,132,,
calm,ppo,stats.wall_depth,0.023753215788182482,0.024185887679006115,0.00043267189082363267,-0.047184846437059565,0.04954309088897421,False,134,132,,
calm,ppo,stats.min_wall_dist,0.720627831434136,0.7205779042207834,-4.9927213352618516e-05,-0.07937349015177107,0.0803777674158292,False,134,132,,
calm,ppo,stats.tracking_error_ema,0.3900377885229997,0.34077092522585933,-0.04926686329714036,-0.24586584725597163,0.138814347639658,False,134,132,,
calm,ppo,stats.filter_lambda,0.06520208204898356,0.0,-0.06520208204898356,-0.10790087277653504,-0.027884532712517552,True,134,132,,
calm,react_soft,stats.wall_violation,0.04477611940298507,0.05303030303030303,0.00825418362731796,-0.04432383536861148,0.06105834464043419,False,134,132,0.31219243318691603,0.7548942823792271
calm,react_soft,stats.wall_viol_frac,0.043969281128983,0.053022427540836914,0.009053146411853917,-0.0425969477048736,0.061742458114091334,False,134,132,,
calm,react_soft,stats.wall_depth,0.023753215788182482,0.026642061149080593,0.002888845360898111,-0.045633044304648,0.05022777850942477,False,134,132,,
calm,react_soft,stats.min_wall_dist,0.720627831434136,0.7210256163821076,0.00039778494797160224,-0.07949216263844709,0.07949860244601868,False,134,132,,
calm,react_soft,stats.tracking_error_ema,0.3900377885229997,0.34131050661601353,-0.048727281906986164,-0.24054646546448963,0.1467617950158786,False,134,132,,
calm,react_soft,stats.filter_lambda,0.06520208204898356,0.055740228656566505,-0.009461853392417056,-0.0654572208728323,0.046830852844385054,False,134,132,,
fast,mpc_only,stats.wall_violation,0.6183745583038869,1.0,0.3816254416961131,0.32853356890459373,0.4381625441696113,True,283,138,8.416413849258086,3.881842411183552e-17
fast,mpc_only,stats.wall_viol_frac,0.4798282684153609,0.5723222529714438,0.09249398455608288,-0.0052256746567819635,0.1878091780195271,False,283,138,,
fast,mpc_only,stats.wall_depth,0.13266319816864927,0.3161283050477336,0.18346510687908432,0.13439325229766574,0.23030460883091658,True,283,138,,
fast,mpc_only,stats.min_wall_dist,-0.14138020032707457,-0.40407964544019837,-0.2626994451131238,-0.331680243561566,-0.19251699790243315,True,283,138,,
fast,mpc_only,stats.tracking_error_ema,2.658150236619235,1.9069075990414275,-0.7512426375778074,-0.8604340168638451,-0.640986584731138,True,283,138,,
fast,mpc_only,stats.filter_lambda,0.6553801008482932,0.9999998807907104,0.3446197799424172,0.2941807859505057,0.3956904450001801,True,283,138,,
fast,ppo,stats.wall_violation,0.6183745583038869,0.6113074204946997,-0.007067137809187218,-0.08833922261484095,0.0742049469964664,False,283,283,-0.1727509094817556,0.8628472253338534
fast,ppo,stats.wall_viol_frac,0.4798282684153609,0.5095316218115559,0.029703353396194954,-0.0495870103544871,0.10997034666564087,False,283,283,,
fast,ppo,stats.wall_depth,0.13266319816864927,0.1541636584697056,0.021500460301056318,-0.020917448650353134,0.06380801622554978,False,283,283,,
fast,ppo,stats.min_wall_dist,-0.14138020032707457,-0.17478988575008647,-0.0334096854230119,-0.12054755496578587,0.055620332999490575,False,283,283,,
fast,ppo,stats.tracking_error_ema,2.658150236619235,2.626252228374405,-0.03189800824482969,-0.10394210511087956,0.0401628970250803,False,283,283,,
fast,ppo,stats.filter_lambda,0.6553801008482932,0.0,-0.6553801008482932,-0.7053050241303722,-0.604766102727266,True,283,283,,
fast,react_soft,stats.wall_violation,0.6183745583038869,0.6067796610169491,-0.011594897286937744,-0.0912858597352818,0.06881475714200158,False,283,295,-0.28602856718931186,0.7748562417201601
fast,react_soft,stats.wall_viol_frac,0.4798282684153609,0.5035607694545967,0.023732501039235798,-0.05436690084163148,0.10216770089966559,False,283,295,,
fast,react_soft,stats.wall_depth,0.13266319816864927,0.1680203998786934,0.03535720171004414,-0.01590573288823607,0.08985115842817981,False,283,295,,
fast,react_soft,stats.min_wall_dist,-0.14138020032707457,-0.17603852223541777,-0.0346583219083432,-0.11927641798107755,0.050548582129662775,False,283,295,,
fast,react_soft,stats.tracking_error_ema,2.658150236619235,2.627261022364689,-0.030889214254545827,-0.10547679201486031,0.04187266326240616,False,283,295,,
fast,react_soft,stats.filter_lambda,0.6553801008482932,0.6279987504405775,-0.02738135040771572,-0.09736589906885626,0.044044654155534345,False,283,295,,
nominal,mpc_only,stats.wall_violation,0.2028985507246377,0.0,-0.2028985507246377,-0.26811594202898553,-0.13768115942028986,True,138,128,-5.387618023068204,7.139759042260917e-08
nominal,mpc_only,stats.wall_viol_frac,0.17894801670226498,0.0,-0.17894801670226498,-0.24315747782803965,-0.11983291657938475,True,138,128,,
nominal,mpc_only,stats.wall_depth,0.0990615706419255,0.0,-0.0990615706419255,-0.15207605638667399,-0.0528361705190353,True,138,128,,
nominal,mpc_only,stats.min_wall_dist,0.38029686609903973,0.35582443373277783,-0.024472432366261898,-0.12747709070453822,0.08511258082504829,False,138,128,,
nominal,mpc_only,stats.tracking_error_ema,1.1994324238781913,1.2850548159331083,0.08562239205491706,-0.12508982113019257,0.28681510050234427,False,138,128,,
nominal,mpc_only,stats.filter_lambda,0.2572911852864,0.9999998807907104,0.7427086955043105,0.6713779611636461,0.8103627586752148,True,138,128,,
nominal,ppo,stats.wall_violation,0.2028985507246377,0.21323529411764705,0.010336743393009357,-0.08471867007672634,0.10539215686274508,False,138,136,0.21076608046402923,0.833069807828931
nominal,ppo,stats.wall_viol_frac,0.17894801670226498,0.17730612220133057,-0.00164189450093441,-0.09117366896143528,0.0855249955111642,False,138,136,,
nominal,ppo,stats.wall_depth,0.0990615706419255,0.09558039470164872,-0.003481175940276776,-0.07721214901713239,0.07196257778656513,False,138,136,,
nominal,ppo,stats.min_wall_dist,0.38029686609903973,0.3974776793928707,0.017180813293830977,-0.12913582537955234,0.1568167609733489,False,138,136,,
